index;level_id;word;quest
1;1;социальная сеть;Веб-сайт, предназначенный для общения в сети интернет.
2;1;википедия;Всемирная свободная энциклопедия, которую может редактировать каждый.
3;1;Паутина;Другое название интернета
4;2;модем;Устройство для подключения к интернету
5;2;линукс;Эта операционная система названа в честь своего создателя
6;2;победа;Как по-другому назывался легковой автомобиль ГАЗ-М-20, который выпускался в России после окончания Второй мировой войны?
7;3;рекапча;При помощи этого проверяют явлется ли пользователь роботом или нет.
8;3;вебстраница;Файл, являющийся основным узлом интернета и имеющий свой адрес.
9;3;сетевой этикет;Кодекс правил поведения, общения в Сети, который соблюдает большинство пользователей
10;4;домен;В 1984 году было изобретено это, чтобы упростить поиск информации в интернете.
11;4;дровами;Чем заправляли самый первый автомобиль?
12;4;воздух;Именно с ним смешивается бензин, чтобы привести автомобиль в движение.
13;5;майфейс;Сайт на замену которому пришёл фейсбук.
14;5;провайдер;Организация, предоставляющая услуги в присоединении пользователей к сети Internet
15;5;операционная система;Как называется пакет программ, управляющих работой компьютера и обеспечивающих взаимодействие между человеком и компьютером?
16;6;логин;Набор символов, который используется как идентификатор пользователя.
17;6;баранка;Кондитерское изделие, в честь которого названи одно из устройств автомобиля.
18;6;Мюнхен;В каком городе были выданы первые номерные знаки?
19;7;браузер;Программа для обработки ффайлов в интернете
20;7;хостинг;Предоставление ресурсов для размещения информации в сети интернет
21;7;процессор;Устройство, предназначенное для обработки информации.
22;8;тахометр;Название устройства, определяющего количество оборотов двигателя?
23;8;двоичная;Система в которой хранится информация в компьютере.
24;8;Запорожец;Эти автомобили продавали в Финляндии под названием Ялта.
25;9;рисунок;Для большего сцепления с дорогой на автомобильных колёсах делают это.
26;9;крылья;Для большего прижатия к земле на гоночных автомобилях используют это.
27;9;послушай;Как переводится с латинского торговая марка Ауди?
28;10;Иван Ползунов;Изобретатель первого в мире парового двигателя?
29;10;Братья Райт;Кто первым изобрел летательный аппарат тяжелее воздуха?
30;10;летящая леди;Что украшает капот автомобиля «Роллс-Ройс»?
31;11;чугунка;"Как в старину называли железную дорогу?"""
32;11;путейцами;Как в позапрошлом веке называли железнодорожников?
33;11;нейроны;Именно они стали основой для открытия нового метода обработки данных в компьютере.
34;11;летать;Что в переводе с латинского означает «авиация»?
35;12;самодвижущийся;Что в переводе с греческого  означает слово автомобиль?
36;12;Александр Можайский;Какой деятель и изобретатель построил в 1883 году самолёт на собственные средства?
37;12;эвакуатор;Так в «Формуле-1» называют того, кто убирает с дороги сломанные гоночные автомобили.