id;word;quest
1;тюрьма;В качестве чего использовали баобабы в XIX веке в Австралии?
2;Энциклопедия;Однажды в знаменитую французскую тюрьму Бастилию заключили не человека, а некое издание. Какое?
3;науру;Страна, которая не имеет столицы
4;скорпион;Это существо может задержать дыхание на 6 суток
5;Туатара;Это существо имеет 3 глаза
6;улитка;Это существо может спать, не просыпаясь 3 года
7;Айерс Рок;Эта гора ежедневно меняет цвет
8;стремя;Самая маленькая кость в человеческом организме
9;Осьминог;У этого существа кровь синего цвета
10;Боливия;Эта страна мира имеет две столицы
11;Медовая колибри;Эта птичка является самой маленькой в мире
12;Кенгуровая крыса;Это животное полностью обходится без воды
13;Сан Марино;Самое старое из современных государств
14;Южный Судан;самое молодое государство на Земле
15;Жупа;Как у западных и южных славян назывались селение, деревня, курень?
16;Сковорода;Что использовали в Китае для глажки белья вместо утюга?
17;Болтливость;По этой причине в Китае муж может в одностороннем порядке объявить о расторжении брака
18;Авоська;Сумка, которой дал название Аркадий Райкин
19;Послушание;Что символизируют пельмени в форме ушек? 
20;Скрепка;Во время второй мировой войны этот предмет являлся символом единства у Норвежцев.
21;Саутгемптон;Из какого города отправился в плавание Титаник?
22;Малала Юсуфзай;Кто стал самым молодым лауреатом Нобелевской премии мира в возрасте 17 лет в 2014 году?
23;Афина;Какой греческой богине был посвящен Парфенон?
24;Микеланджело;Кто расписал Сикстинскую капеллу?
25;Новый Амстердам;Как раньше назывался Нью-Йорк?
26;Лига Наций;Как называлась международная группа, созданная для поддержания мира во всем мире после Первой мировой войны?
27;Теотиуакан;Где находится Пирамида Солнца?
28;Красный Крест;Какая организация была удостоена Нобелевской премии мира в 1917 г.?
29;Чарльз Линдберг;Кто в 1927 году стал первым человеком, совершившим в одиночку беспосадочный перелет через Атлантику?
30;Афины;Где были проведены первые современные Олимпийские игры?
31;Египет;Каким древним царством правила династия Птолемеев?
32;Архимед;Кто известен тем, что бегал по улицам с криком «Эврика»?
33;Джек Потрошитель;Какому серийному убийце дали прозвище «Убийца из Уайтчепела»?
34;Иоганн Гутенберг;Кого обычно называют человеком, создавшим первый печатный станок?
35;Куско;Какой город был столицей империи инков?
36;Сократ;Какого древнего деятеля часто считают основателем западной философии?
37;Эхнатон;Вместе с каким фараоном правила царица Нефертити?
38;Вавилон;В каком городе было найдено одно из древних чудес света — «Висячие сады»?
39;Джейн Грей;Какая английская королева правила всего девять дней?
40;Александр Флеминг;Кто открыл пенициллин?
41;Барбаросса;Как называлось вторжение Германии в Советский Союз во время Второй мировой войны?
42;Дании;Гренландия была колонией какой страны до 1981 года?
43;Мэтью Уэбб;Кто был первым человеком, переплывшим Ла-Манш?
44;Восточный Пакистан;Как назывался Бангладеш до обретения независимости?
45;Самураи;Как называли военную знать в Японии?
46;Птолемеи;К какой династии принадлежала Клеопатра?
47;Гватемала;Империя майя была сосредоточена на территории нынешней какой страны?
48;Тасмания;Каково современное название Земли Ван-Димена?
49;Канада;В какой стране был найден самый большой из известных скелетов тираннозавра?
50;Камбоджа;Красные кхмеры были режимом, правившим какой страной в 20 веке?